k,inertia,sil_km,sil_hc,db_km
2,3096.939755806472,0.784946434036803,0.7850458656365862,0.36967622991144955
3,1799.3493158237982,0.7464431559929846,0.7452746560757647,0.2794160039260222
4,1023.9481573529506,0.7244508514527435,0.7224924466993042,0.21375063950467843
5,347.24580328595704,0.6812795373040735,0.6236869803212437,0.26094782723146304
6,207.14025249581064,0.6503960767478578,0.6128746053628713,0.23549451271507052
7,94.83303641921508,0.5822830473149968,0.5824101210451211,0.25598164230656745
